result_id,triad_id,distance_hist1_to_centroid,distance_hist2_to_centroid,distance_hist3_to_centroid,mean_historian_distance,distance_abstract1_to_centroid,distance_abstract2_to_centroid,distance_abstract3_to_centroid,mean_abstract_distance,distance_final_to_centroid,converged,convergence_delta,abstract_distance_variance,mean_pairwise_abstract_similarity,bias_weight_1,bias_weight_2,bias_weight_3,dominant_historian_position,bias_score,created_at
38,38,0.1786646842956543,0.11295640468597412,0.18309026956558228,0.1582371195157369,0.36461853981018066,0.6223849058151245,0.42714953422546387,0.47138432661692303,0.3407975435256958,False,0.13058678309122723,0.012052275002856857,0.3222145587205887,0.3518284725549543,0.3015585131144415,0.3466130143306043,1,0.018495139221620993,2026-03-13 02:21:30.524418
39,39,0.11171984672546387,0.20258325338363647,0.1621330976486206,0.15881206591924033,0.30242210626602173,0.3875078558921814,0.4130377769470215,0.3676559130350749,0.340435266494751,False,0.02722064654032391,0.0022363542509688094,0.5979735652605692,0.33390249697484065,0.33109427917933687,0.3350032238458225,3,0.0016698905124891694,2026-03-13 02:21:30.640188
40,40,0.18009042739868164,0.18255329132080078,0.11719727516174316,0.15994699796040854,0.43985438346862793,0.5650246143341064,0.5192058086395264,0.5080282688140869,0.4838811755180359,False,0.024147093296051025,0.0026737331474275075,0.27785426874955493,0.3118681537173048,0.32250414689924295,0.36562769938345213,3,0.03229436605011882,2026-03-13 02:21:30.777353
41,41,0.2123885154724121,0.16016852855682373,0.11011916399002075,0.1608920693397522,0.5212022662162781,0.5132353603839874,0.5363124310970306,0.5235833525657654,0.4157160520553589,False,0.1078673005104065,9.159331821765686e-05,0.392446905374527,0.3209575564751431,0.3418122224942928,0.3372302210305642,2,0.008478889160959457,2026-03-13 02:21:30.884392
42,42,0.18366652727127075,0.13303709030151367,0.1684349775314331,0.16171286503473917,0.45118772983551025,0.5186261832714081,0.4825359582901001,0.48411662379900616,0.26590049266815186,True,0.2182161311308543,0.0007592400853631492,0.20973004400730133,0.2871227131619798,0.401034992189854,0.31184229464816626,2,0.06770165885652069,2026-03-13 02:21:31.019983
43,43,0.17429429292678833,0.19437110424041748,0.11856329441070557,0.1624095638593038,0.2790100574493408,0.4824073314666748,0.6132738590240479,0.4582304159800212,0.4312596321105957,False,0.026970783869425474,0.018914309795086917,0.458298255999883,0.3409987283615875,0.31617451901741606,0.3428267526209964,3,0.009493419287663063,2026-03-13 02:21:31.145440
44,44,0.17134135961532593,0.20505452156066895,0.11311542987823486,0.16317043701807657,0.35474884510040283,0.8869437575340271,0.3517475128173828,0.5311467051506042,0.3204690217971802,False,0.21067768335342407,0.06329727257494493,0.23210337261358896,0.4271099060954566,0.21216683110846438,0.36072326279607897,1,0.09377657276212331,2026-03-13 02:21:31.289636
45,45,0.2086818814277649,0.1912531852722168,0.09122085571289062,0.16371864080429077,0.3322741389274597,0.5320056676864624,0.38922595977783203,0.41783525546391803,0.3217407464981079,False,0.09609450896581012,0.00705802649656167,0.3495432486136754,0.34104537486813563,0.3038319250771964,0.35512270005466784,3,0.021789366721334524,2026-03-13 02:21:31.439508
46,46,0.17409265041351318,0.12532567977905273,0.19291925430297852,0.1641125281651815,0.40599244832992554,0.4036218523979187,0.5688172578811646,0.45947718620300293,0.284116268157959,False,0.17536091804504395,0.005978562258138235,0.2904686580101649,0.3236693295732793,0.3498312992056654,0.3264993712210553,2,0.0164979658723321,2026-03-13 02:21:31.542350
47,47,0.13184690475463867,0.23640578985214233,0.12557590007781982,0.1646095315615336,0.41921502351760864,0.5330381095409393,0.4525963068008423,0.46828314661979675,0.4058123826980591,False,0.06247076392173767,0.0022823209570651906,0.4522061049938202,0.35488311134960454,0.34804823802666607,0.29706865062372945,1,0.021549778016271226,2026-03-13 02:21:31.668314
