authorId,authorName,matched_papers,total_topic_citations,first_author_papers,last_author_papers,score,rank
https://openalex.org/A5061109067,Richard W. Bulliet,1,193,0,1,14.228863498686602,376
https://openalex.org/A5060170163,Barbara Shapiro,1,192,1,0,14.218527558369717,377
https://openalex.org/A5045235309,Edward Ν. Waters,1,192,1,0,14.218527558369717,378
https://openalex.org/A5044040093,Arthur Loesser,1,192,0,1,14.218527558369717,379
https://openalex.org/A5004910394,Joseph M. Levine,1,192,0,1,14.218527558369717,380
https://openalex.org/A5013650249,John Bossy,1,135,1,1,14.211604132591996,381
https://openalex.org/A5066282843,Norbert Elliot,1,135,1,1,14.211604132591996,382
https://openalex.org/A5041453323,Andrew Scull,1,134,1,1,14.19684391799675,383
https://openalex.org/A5058827161,Paul Blackledge,2,19,2,2,14.188689124444199,384
https://openalex.org/A5110447648,Robert Taft,1,133,1,1,14.181973961021713,385
https://openalex.org/A5043979598,Hannah Cooke,1,188,1,0,14.17664121067923,386
https://openalex.org/A5016068838,Athanasios Markopoulos,1,132,1,1,14.166992617563398,387
https://openalex.org/A5089981876,W.R. Bradford,1,187,1,0,14.166031106219844,388
https://openalex.org/A5040899901,André Schmid,1,131,1,1,14.151898206292632,389
https://openalex.org/A5089437398,Francesca Santoro L’hoir,1,131,1,1,14.151898206292632,390
https://openalex.org/A5006159522,JoAnn McGregor,1,184,0,1,14.133858830716594,391
https://openalex.org/A5044124013,John A. Lawson,1,260,0,0,14.129040814645387,392
https://openalex.org/A5090575905,Christopher J. Wickham,1,129,1,1,14.121363262031055,393
https://openalex.org/A5024112213,Shulamit Volkov,1,128,1,1,14.105919169843235,394
https://openalex.org/A5111781336,William Huse Dunham,1,256,0,0,14.09815216979044,395
https://openalex.org/A5053543725,H. S. Bennett,1,256,0,0,14.09815216979044,396
https://openalex.org/A5021724503,Derek Birley,1,127,1,1,14.090354888959125,397
https://openalex.org/A5112778232,Joseph P. McDermott,1,126,1,1,14.074668534037073,398
https://openalex.org/A5050277973,Kali for Women,1,178,0,1,14.067918792241455,399
https://openalex.org/A5075822189,Lex Heerma van Voss,1,178,1,0,14.067918792241455,400
https://openalex.org/A5091729976,Janaki Nair,1,178,1,0,14.067918792241455,401
https://openalex.org/A5111917428,R. Douglas Hurt,1,125,1,1,14.058858175022847,402
https://openalex.org/A5111611716,Robert Bonfil,1,125,1,1,14.058858175022847,403
https://openalex.org/A5013154757,J. H. Clapham,1,177,1,0,14.056714281144115,404
https://openalex.org/A5019375784,Gregor Wienand,1,173,1,0,14.011257778989004,405
https://openalex.org/A5023944095,James Harvey Young,1,122,1,1,14.010663071864725,406
https://openalex.org/A5113907056,John E. Woods,1,122,1,1,14.010663071864725,407
https://openalex.org/A5047704833,Linda Bryder,1,122,1,1,14.010663071864725,408
https://openalex.org/A5026287969,Steven E. Sidebotham,1,172,1,0,13.999730369555504,409
https://openalex.org/A5063055995,E. Barbara Phillips,1,172,1,0,13.999730369555504,410
https://openalex.org/A5103633710,John P. S. McLaren,1,120,1,1,13.977875452313373,411
https://openalex.org/A5112600170,Walter R. Johnson,1,170,1,0,13.976474293565266,412
https://openalex.org/A5073527495,Randall L. Pouwels,1,119,1,1,13.961277846683982,413
https://openalex.org/A5045587346,Martin Kusch,1,118,1,1,13.94454134734295,414
https://openalex.org/A5062531767,Vivian Nutton,1,118,1,1,13.94454134734295,415
https://openalex.org/A5013383594,Roger Munting,1,118,1,1,13.94454134734295,416
https://openalex.org/A5057066009,Christopher G. A. Byrant,1,236,0,0,13.936120282270263,417
https://openalex.org/A5003440337,Mark Carey,1,117,1,1,13.927663610051221,418
https://openalex.org/A5067446384,Thomas R. Hanley,1,165,0,1,13.917122757273033,419
https://openalex.org/A5089857174,Heinrich A. Rommen,1,165,1,0,13.917122757273033,420
https://openalex.org/A5048704323,Edward N. Coffman,1,165,0,1,13.917122757273033,421
https://openalex.org/A5006748645,Gary John Previts,1,165,1,0,13.917122757273033,422
https://openalex.org/A5016614981,Jame B. Donegan,1,165,1,0,13.917122757273033,423
https://openalex.org/A5052017921,Maurice Keen,1,116,1,1,13.910642230715403,424
https://openalex.org/A5056628107,Theodore Friend,1,164,1,0,13.905038128361106,425
https://openalex.org/A5017751752,Ed. C. De Jesus,1,164,0,1,13.905038128361106,426
https://openalex.org/A5090285025,Michael Wintle,1,115,1,1,13.89347474333262,427
https://openalex.org/A5019756058,Thomas L. Haskell,1,163,1,0,13.892880036208343,428
https://openalex.org/A5038504856,Harold A. Waters,1,163,1,0,13.892880036208343,429
https://openalex.org/A5063243783,Flora Veit–Wild,1,163,0,1,13.892880036208343,430
https://openalex.org/A5069588848,Alfred McClung Lee,1,162,1,0,13.88064758217347,431
https://openalex.org/A5045621048,Alan Hodge,1,162,0,1,13.88064758217347,432
https://openalex.org/A5069273460,Paul Griffiths,1,162,1,0,13.88064758217347,433
https://openalex.org/A5048151569,Mark Jenner,1,162,0,1,13.88064758217347,434
https://openalex.org/A5112503864,N. Jardine,1,114,1,1,13.876158617846391,435
https://openalex.org/A5007534584,Sally Guttmacher,1,161,1,0,13.868339851024713,436
https://openalex.org/A5057250315,Timothy Lenoir,1,161,1,0,13.868339851024713,437
https://openalex.org/A5109241163,R. I. McCallum,1,113,1,1,13.858691257908882,438
https://openalex.org/A5025170313,Andreas Ortmann,1,160,1,0,13.855955910528872,439
https://openalex.org/A5112390914,Christopher Pelling,1,160,0,1,13.855955910528872,440
https://openalex.org/A5006852154,Carl Boeing,1,160,0,1,13.855955910528872,441
https://openalex.org/A5029515390,Christina S. Kraus,1,160,1,0,13.855955910528872,442
https://openalex.org/A5012504689,Robert J. Morris,1,159,0,1,13.843494811027599,443
https://openalex.org/A5052823319,Richard Rodger,1,112,1,1,13.841069998544572,444
https://openalex.org/A5067156599,Richard A. Gould,1,112,1,1,13.841069998544572,445
https://openalex.org/A5109998471,Mrinalini Sinha,1,112,1,1,13.841069998544572,446
https://openalex.org/A5060684397,Mika Pantzar,1,112,1,1,13.841069998544572,447
https://openalex.org/A5051349346,A. I. Pudovkin,1,223,0,0,13.823292103710079,448
https://openalex.org/A5037364267,Nishijima Sadao,1,111,1,1,13.823292103710079,449
https://openalex.org/A5089517092,Karl Christ,1,157,1,0,13.81833724661388,450
https://openalex.org/A5096747422,Lawrence H. Fuchs,1,156,0,1,13.80563879125656,451
https://openalex.org/A5096775879,Daniel W. Tuttle,1,156,1,0,13.80563879125656,452
https://openalex.org/A5111419862,S. G. Magnusson,1,110,1,1,13.805354763744559,453
https://openalex.org/A5110644494,Lou Taylor,1,110,1,1,13.805354763744559,454
https://openalex.org/A5023486394,Paul K. Drain,1,220,0,0,13.796325403035505,455
https://openalex.org/A5085875452,J.A. Mangan,1,155,0,1,13.79285919505902,456
https://openalex.org/A5019142693,William J. Baker,1,155,1,0,13.79285919505902,457
https://openalex.org/A5001331774,Frances A. Koestler,1,109,1,1,13.787255092704724,458
https://openalex.org/A5110899437,Dana Arnold,1,109,1,1,13.787255092704724,459
https://openalex.org/A5017908616,Herbert G. Gutman,1,154,0,1,13.779997414398439,460
https://openalex.org/A5098636594,Humbert S. Nelli,1,154,1,0,13.779997414398439,461
https://openalex.org/A5008804656,Hans Medick,1,108,1,1,13.768990125578178,462
https://openalex.org/A5055381600,Joseph Mali,1,108,1,1,13.768990125578178,463
https://openalex.org/A5112800980,B. W. E. Alford,1,153,1,0,13.767052385387204,464
https://openalex.org/A5061853159,Ian Phimister,1,153,0,1,13.767052385387204,465
https://openalex.org/A5109290338,Patricia R. Zimmermann,1,107,1,1,13.75055681536833,466
https://openalex.org/A5011301174,B.H. Stolte,1,107,1,1,13.75055681536833,467
https://openalex.org/A5034049840,Ewa Morawska,1,107,1,1,13.75055681536833,468
https://openalex.org/A5063798338,Tania McIntosh,1,107,1,1,13.75055681536833,469
https://openalex.org/A5004568848,Lynne Viola,1,151,1,0,13.740908222252498,470
https://openalex.org/A5108657477,Moshé Lewin,1,151,0,1,13.740908222252498,471
https://openalex.org/A5008955743,Douglas E. Oakman,1,150,1,0,13.727706854189794,472
https://openalex.org/A5034594419,Wolfgang Stegemann,1,150,0,1,13.727706854189794,473
https://openalex.org/A5044952666,L. Finette,1,149,1,0,13.714417768752456,474
https://openalex.org/A5035788267,Elizabeth Tonkin,1,149,1,0,13.714417768752456,475
https://openalex.org/A5066523547,Janet Lloyd,1,149,0,1,13.714417768752456,476
https://openalex.org/A5036771937,J. Chappell H. Lawson,1,149,1,0,13.714417768752456,477
https://openalex.org/A5001550202,G. D. Wilcoxon,1,149,1,0,13.714417768752456,478
https://openalex.org/A5060159968,Jon Clark,1,211,0,0,13.713172549344025,479
https://openalex.org/A5021406974,Celia Modgil,1,211,0,0,13.713172549344025,480
https://openalex.org/A5058575128,Paul T. Burlin,1,148,1,0,13.701039792450864,481
https://openalex.org/A5005231144,Robert J. Penella,1,148,1,0,13.701039792450864,482
https://openalex.org/A5012364709,Louis A. Pérez,1,148,0,1,13.701039792450864,483
https://openalex.org/A5041287871,K. E. Fleming,1,103,1,1,13.675076159402636,484
https://openalex.org/A5113023521,S. Ν. Eisenstadt,1,146,1,0,13.674012354117417,485
https://openalex.org/A5003731548,Manning Nash,1,146,0,1,13.674012354117417,486
https://openalex.org/A5045287886,Bruce McConachie,1,145,0,1,13.660360423976618,487
